Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
24,Wii Sports,Wii,2006,Nintendo  ,Nintendo EAD  ,7.7,41.36,29.02,3.77,8.51,82.65
62,Mario Kart 8 Deluxe,NS,2017,Nintendo  ,Nintendo EPD  ,9.3,5.05,4.98,2.11,0.91,13.05
67,Super Mario Bros.,NES,1985,Nintendo  ,Nintendo EAD  ,10.0,29.08,3.58,6.81,0.77,40.24
75,Mario Kart Wii,Wii,2008,Nintendo  ,Nintendo EAD  ,8.2,15.91,12.92,3.8,3.35,35.98
88,Wii Sports Resort,Wii,2009,Nintendo  ,Nintendo EAD  ,8.0,15.61,10.99,3.29,3.02,32.9
93,Pokémon Red / Green / Blue Version,GB,1998,Nintendo  ,Game Freak  ,9.4,11.27,8.89,10.22,1.0,31.37
97,New Super Mario Bros.,DS,2006,Nintendo  ,Nintendo EAD  ,9.1,11.28,9.19,6.5,2.89,29.85
98,New Super Mario Bros. Wii,Wii,2009,Nintendo  ,Nintendo EAD  ,8.6,14.53,7.01,4.7,2.27,28.51
108,Wii Play,Wii,2007,Nintendo  ,Nintendo EAD  ,5.9,13.96,9.18,2.93,2.85,28.92
111,Super Smash Bros. Ultimate,NS,2018,Nintendo  ,Bandai Namco Games  ,9.4,4.22,1.72,2.41,0.61,8.95
118,The Legend of Zelda: Breath of the Wild,NS,2017,Nintendo  ,Nintendo EPD  ,9.9,4.54,2.94,1.26,0.73,9.46
128,Kinect Adventures!,X360,2010,Microsoft Game Studios  ,Good Science Studio  ,6.7,15.09,4.97,0.24,1.81,22.1
131,Nintendogs,DS,2005,Nintendo  ,Nintendo EAD  ,8.4,9.05,10.96,1.93,2.74,24.68
134,Mario Kart DS,DS,2005,Nintendo  ,Nintendo EAD  ,9.1,9.71,7.51,4.13,1.91,23.26
135,Pokémon Gold / Silver Version,GB,2000,Nintendo  ,Game Freak  ,9.2,9.0,6.18,7.2,0.71,23.1
136,Super Mario Odyssey,NS,2017,Nintendo  ,Nintendo EPD  ,9.9,5.1,3.75,2.02,0.84,11.71
138,Wii Fit,Wii,2008,Nintendo  ,Nintendo EAD  ,7.9,8.92,8.03,3.6,2.15,22.7
143,Wii Fit Plus,Wii,2009,Nintendo  ,Nintendo EAD  ,8.0,9.01,8.51,2.53,1.76,21.81
147,Super Mario World,SNES,1991,Nintendo  ,Nintendo EAD  ,8.5,12.78,3.75,3.54,0.55,20.61
148,Grand Theft Auto V,PS3,2013,Rockstar Games  ,Rockstar North  ,9.4,6.37,9.85,0.99,3.12,20.32
156,Marvel's Spider-Man,PS4,2018,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,3.64,3.39,0.32,1.41,8.76
168,God of War (2018),PC,2018,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,2.83,2.17,0.13,1.02,6.15
169,Grand Theft Auto V,PS4,2014,Rockstar Games  ,Rockstar North  ,9.7,6.06,9.71,0.6,3.02,19.39
173,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Nintendo  ,Nintendo SDD  ,8.1,4.74,9.21,4.16,2.04,20.16
177,Mario Kart 7,3DS,2011,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,6.03,5.35,3.0,1.11,15.49
181,Pokémon Diamond / Pearl Version,DS,2007,Nintendo  ,Game Freak  ,8.6,6.38,4.47,6.04,1.36,18.25
184,Super Mario Party,NS,2018,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,2.12,1.64,0.85,0.36,4.97
185,Grand Theft Auto: San Andreas,PS2,2004,Rockstar Games  ,Rockstar North  ,9.5,9.43,0.4,0.41,10.57,20.81
199,Pokémon X/Y,3DS,2013,Nintendo  ,Game Freak  ,8.9,5.68,5.06,4.4,0.99,16.13
201,Pokémon Sun/Moon,3DS,2016,Nintendo  ,Game Freak  ,9.0,6.02,4.34,3.82,0.99,15.17
202,Uncharted 4: A Thief's End,PS4,2016,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,4.49,3.93,0.21,1.7,10.33
203,Pokémon Ruby / Sapphire Version,GBA,2003,Nintendo  ,Game Freak  ,8.8,6.06,3.9,5.38,0.5,15.85
204,Grand Theft Auto: Vice City,PS2,2002,Rockstar Games  ,Rockstar North  ,9.6,8.41,5.49,0.47,1.78,16.15
212,Pokémon Black / White Version,DS,2011,Nintendo  ,Game Freak  ,8.6,5.51,3.2,5.66,0.8,15.18
232,Gran Turismo 3: A-Spec,PS2,2001,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,6.85,5.09,1.87,1.16,14.98
233,Brain Age 2: More Training in Minutes a Day,DS,2007,Nintendo  ,Nintendo SDD  ,8.0,3.43,5.36,5.32,1.18,15.29
234,Call of Duty: Modern Warfare 3,X360,2011,Activision  ,Infinity Ward  ,8.7,9.07,4.29,0.13,1.33,14.82
235,Call of Duty: Black Ops,X360,2010,Activision  ,Treyarch  ,8.8,9.76,3.73,0.11,1.14,14.74
236,Pokémon Yellow: Special Pikachu Edition,GB,1999,Nintendo  ,Game Freak  ,8.7,5.89,5.04,3.12,0.59,14.64
239,Halo 3,X360,2007,Microsoft Game Studios  ,Bungie Studios  ,9.6,7.97,2.81,0.13,1.21,12.13
251,Red Dead Redemption 2,PS4,2018,Rockstar Games  ,Rockstar Games  ,9.8,5.26,6.21,0.21,2.26,13.94
256,Call of Duty: Modern Warfare 2,X360,2009,Activision  ,Infinity Ward  ,9.5,8.54,3.63,0.08,1.28,13.53
258,Call of Duty: WWII,PS4,2017,Activision  ,Sledgehammer Games  ,8.0,4.67,6.21,0.4,2.12,13.4
259,New Super Mario Bros. 2,3DS,2012,Nintendo  ,Nintendo  ,7.5,3.95,4.07,2.59,0.72,11.33
260,Call of Duty: Modern Warfare 3,PS3,2011,Activision  ,Infinity Ward  ,8.8,5.54,5.78,0.49,1.54,13.35
261,Super Smash Bros. Brawl,Wii,2008,Nintendo  ,Project Sora  ,9.2,6.64,2.57,2.67,1.03,12.91
262,Grand Theft Auto III,PS2,2001,Rockstar Games  ,DMA Design  ,9.5,6.99,4.51,0.3,1.3,13.1
269,Animal Crossing: New Leaf,3DS,2013,Nintendo  ,Nintendo EAD  ,8.6,2.46,3.06,4.9,0.48,10.9
270,Super Mario 3D Land,3DS,2011,Nintendo  ,Nintendo EAD Tokyo  ,8.9,5.1,3.46,2.15,0.85,11.56
272,Super Mario Galaxy,Wii,2007,Nintendo  ,Nintendo EAD Tokyo  ,9.7,6.06,3.38,1.2,0.76,11.4
274,Pokémon Heart Gold / Soul Silver Version,DS,2010,Nintendo  ,Game Freak  ,8.6,4.34,2.72,3.96,0.76,11.78
275,Splatoon 2,NS,2017,Nintendo  ,Nintendo EPD  ,8.2,1.9,1.8,3.01,0.34,7.04
276,Call of Duty: Black Ops,PS3,2010,Activision  ,Treyarch  ,8.7,6.01,4.4,0.48,1.78,12.67
301,Pokémon FireRed / LeafGreen Version,GBA,2004,Nintendo  ,Game Freak  ,8.3,4.34,2.65,3.15,0.35,10.49
304,Gran Turismo 5,PS3,2010,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,2.96,4.87,0.81,2.1,10.75
305,Super Mario 64,N64,1996,Nintendo  ,Nintendo EAD  ,9.7,6.91,2.85,1.91,0.23,11.89
306,FIFA 18,PS4,2017,EA Sports  ,EA Vancouver  ,8.3,1.27,8.64,0.15,1.73,11.8
307,The Last of Us Remastered,PS4,2014,Sony Computer Entertainment  ,Naughty Dog  ,9.5,2.7,2.86,0.11,1.1,6.77
308,Gran Turismo 4,PS2,2005,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,3.01,0.01,1.1,7.53,11.66
309,Animal Crossing: Wild World,DS,2005,Nintendo  ,Nintendo EAD  ,8.5,2.5,3.46,5.33,0.86,12.14
315,Super Mario Land 2: 6 Golden Coins,GB,1992,Nintendo  ,Nintendo R&D1  ,9.0,6.16,2.04,2.69,0.29,11.18
317,Grand Theft Auto IV,X360,2008,Rockstar Games  ,Rockstar North  ,10.0,6.8,3.11,0.14,1.04,11.09
332,FIFA 17,PS4,2016,Electronic Arts  ,EA Canada  ,8.9,1.26,7.95,0.12,1.61,10.94
333,Gran Turismo,PS,1998,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,4.02,3.87,2.54,0.52,10.95
335,Call of Duty: Modern Warfare 2,PS3,2009,Activision  ,Infinity Ward  ,9.5,4.99,3.66,0.38,1.59,10.61
337,Grand Theft Auto IV,PS3,2008,Rockstar Games  ,Rockstar North  ,10.0,4.79,3.73,0.44,1.62,10.57
342,Call of Duty: Ghosts,X360,2013,Activision  ,Infinity Ward  ,6.9,6.76,2.64,0.04,0.98,10.41
346,Call of Duty: Ghosts,PS3,2013,Activision  ,Infinity Ward  ,7.5,4.11,4.01,0.39,1.62,10.13
360,Horizon: Zero Dawn,PS4,2017,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,2.2,2.43,0.28,0.92,5.82
380,Halo: Reach,X360,2010,Microsoft Game Studios  ,Bungie  ,9.3,7.08,2.01,0.08,0.8,9.97
384,Final Fantasy VII,PS,1997,Sony Computer Entertainment  ,SquareSoft  ,9.6,3.01,2.47,3.28,0.96,9.72
385,Mario Kart 64,N64,1997,Nintendo  ,Nintendo EAD  ,8.5,5.55,1.94,2.23,0.15,9.87
387,Super Smash Bros. for 3DS,3DS,2014,Nintendo  ,Bandai Namco Games  ,8.4,3.73,1.5,2.55,0.54,8.32
390,Call of Duty 4: Modern Warfare,X360,2007,Activision  ,Infinity Ward  ,9.6,5.98,2.39,0.13,0.91,9.41
391,Gran Turismo 2,PS,1999,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,3.88,3.42,1.69,0.5,9.49
392,Wii Party,Wii,2010,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0,1.75,3.51,2.49,0.66,8.41
394,Mario Party DS,DS,2007,Nintendo  ,Hudson Soft  ,7.1,4.4,1.86,1.98,0.69,8.93
395,Donkey Kong Country,SNES,1994,Nintendo  ,Rare Ltd.  ,9.0,4.36,1.71,3.0,0.23,9.3
398,Uncharted 3: Drake's Deception,PS3,2011,Sony Computer Entertainment  ,Naughty Dog  ,9.3,2.77,2.81,0.19,1.06,6.84
401,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Nintendo  ,Game Freak  ,8.1,2.46,1.74,2.55,0.4,7.15
413,The Elder Scrolls V: Skyrim,X360,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,5.1,2.83,0.1,0.85,8.88
414,Mario Party 8,Wii,2007,Nintendo  ,Hudson Soft  ,6.5,3.74,2.27,1.58,0.7,8.3
417,Super Mario Kart,SNES,1992,Nintendo  ,Nintendo EAD  ,10.0,3.54,1.24,3.81,0.18,8.76
418,Grand Theft Auto V,XOne,2014,Rockstar Games  ,Rockstar North  ,9.0,4.7,3.25,0.01,0.76,8.72
421,Final Fantasy VIII,PS,1999,Square EA  ,SquareSoft  ,9.4,2.28,1.72,3.63,0.23,7.86
422,Final Fantasy X,PS2,2001,Square  ,SquareSoft  ,9.0,2.91,2.07,2.73,0.33,8.05
424,Pokémon Black 2 and White 2,DS,2012,Nintendo  ,Game Freak  ,8.0,2.79,1.79,3.16,0.43,8.16
428,Fallout 4,PS4,2015,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,2.91,3.97,0.27,1.34,8.48
429,Mario Kart 8,WiiU,2014,Nintendo  ,Nintendo  ,8.8,3.22,2.55,1.39,0.54,7.69
430,Tekken 3,PS,1998,Namco  ,Namco  ,9.6,3.27,2.22,1.4,0.29,7.16
433,FIFA 16,PS4,2015,EA Sports  ,EA Canada  ,8.5,1.15,5.77,0.07,1.23,8.22
435,The Last of Us,PS3,2013,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,2.41,2.57,0.29,0.99,6.27
436,GoldenEye 007,N64,1997,Nintendo  ,Rare Ltd.  ,9.8,5.8,2.01,0.13,0.15,8.09
437,Star Wars Battlefront (2015),PS4,2015,Electronic Arts  ,EA DICE  ,7.1,3.31,3.19,0.23,1.3,8.03
446,Halo 2,XB,2004,Microsoft Game Studios  ,Bungie Studios  ,9.6,6.82,1.53,0.05,0.08,8.49
447,Harry Potter and the Sorcerer's Stone,PS,2001,Electronic Arts  ,Argonaut Games  ,8.0,1.37,2.0,0.14,0.22,3.73
461,Grand Theft Auto: Liberty City Stories,PSP,2005,Rockstar Games  ,Rockstar Leeds  ,8.8,2.9,2.83,0.24,1.74,7.72
468,God of War III,PS3,2010,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,2.74,1.36,0.12,0.6,4.81
469,Pokémon Platinum Version,DS,2009,Nintendo  ,Game Freak  ,8.3,2.76,1.73,2.69,0.54,7.72
